"Step","ClassificationPhoneme  - TW - loss","ClassificationPhoneme  - TW - loss__MIN","ClassificationPhoneme  - TW - loss__MAX","ClassificationPhoneme  - Jittering - loss","ClassificationPhoneme  - Jittering - loss__MIN","ClassificationPhoneme  - Jittering - loss__MAX","ClassificationPhoneme  - ROS - loss","ClassificationPhoneme  - ROS - loss__MIN","ClassificationPhoneme  - ROS - loss__MAX","ClassificationPhoneme  - Raw - loss","ClassificationPhoneme  - Raw - loss__MIN","ClassificationPhoneme  - Raw - loss__MAX","ClassificationOliveOil  - ADASYN - loss","ClassificationOliveOil  - ADASYN - loss__MIN","ClassificationOliveOil  - ADASYN - loss__MAX","ClassificationOliveOil  - SMOTE - loss","ClassificationOliveOil  - SMOTE - loss__MIN","ClassificationOliveOil  - SMOTE - loss__MAX","ClassificationOliveOil  - TW - loss","ClassificationOliveOil  - TW - loss__MIN","ClassificationOliveOil  - TW - loss__MAX","ClassificationOliveOil  - Jittering - loss","ClassificationOliveOil  - Jittering - loss__MIN","ClassificationOliveOil  - Jittering - loss__MAX","ClassificationOliveOil  - ROS - loss","ClassificationOliveOil  - ROS - loss__MIN","ClassificationOliveOil  - ROS - loss__MAX","ClassificationOliveOil  - Raw - loss","ClassificationOliveOil  - Raw - loss__MIN","ClassificationOliveOil  - Raw - loss__MAX","ClassificationMedicalImages  - ADASYN - loss","ClassificationMedicalImages  - ADASYN - loss__MIN","ClassificationMedicalImages  - ADASYN - loss__MAX","ClassificationMedicalImages  - SMOTE - loss","ClassificationMedicalImages  - SMOTE - loss__MIN","ClassificationMedicalImages  - SMOTE - loss__MAX","ClassificationMedicalImages  - TW - loss","ClassificationMedicalImages  - TW - loss__MIN","ClassificationMedicalImages  - TW - loss__MAX","ClassificationMedicalImages  - Jittering - loss","ClassificationMedicalImages  - Jittering - loss__MIN","ClassificationMedicalImages  - Jittering - loss__MAX"
"0","3.3054370880126953","3.299666166305542","3.3112080097198486","2.9183555841445923","2.883090019226074","2.9536211490631104","3.023858666419983","3.013843059539795","3.033874273300171","3.402384638786316","3.3710005283355713","3.42683744430542","1.5722503662109375","1.5722503662109375","1.5722503662109375","1.5525033473968506","1.5525033473968506","1.5525033473968506","1.5913481712341309","1.5913481712341309","1.5913481712341309","1.4683505296707153","1.4683505296707153","1.4683505296707153","1.4552782773971558","1.4552782773971558","1.4552782773971558","1.400706171989441","1.400706171989441","1.400706171989441","1.0066832304000854","1.0066832304000854","1.0066832304000854","0.9722238183021545","0.9722238183021545","0.9722238183021545","1.4223437309265137","1.4223437309265137","1.4223437309265137","0.550865113735199","0.550865113735199","0.550865113735199"
"1","2.7764501571655273","2.7704274654388428","2.782472848892212","1.998105764389038","1.9888629913330078","2.0073485374450684","2.14042067527771","2.118014335632324","2.1628270149230957","2.874904155731201","2.853811502456665","2.8853890895843506","1.4572842121124268","1.4572842121124268","1.4572842121124268","1.460989236831665","1.460989236831665","1.460989236831665","1.4203836917877197","1.4203836917877197","1.4203836917877197","1.4182146787643433","1.4182146787643433","1.4182146787643433","1.4806996583938599","1.4806996583938599","1.4806996583938599","1.4970179796218872","1.4970179796218872","1.4970179796218872","0.41298985481262207","0.41298985481262207","0.41298985481262207","0.37016093730926514","0.37016093730926514","0.37016093730926514","0.9040674567222595","0.9040674567222595","0.9040674567222595","0.21648921072483063","0.21648921072483063","0.21648921072483063"
"2","2.4788804054260254","2.4689762592315674","2.4887845516204834","1.480652093887329","1.4795361757278442","1.481768012046814","1.7184436917304993","1.69883131980896","1.7380560636520386","2.6702651381492615","2.6392531394958496","2.6935088634490967","1.500492811203003","1.500492811203003","1.500492811203003","1.4397639036178589","1.4397639036178589","1.4397639036178589","1.3996473550796509","1.3996473550796509","1.3996473550796509","1.2584197521209717","1.2584197521209717","1.2584197521209717","1.4578092098236084","1.4578092098236084","1.4578092098236084","1.4250251054763794","1.4250251054763794","1.4250251054763794","0.28452736139297485","0.28452736139297485","0.28452736139297485","0.2612093687057495","0.2612093687057495","0.2612093687057495","0.7145980596542358","0.7145980596542358","0.7145980596542358","0.1693485826253891","0.1693485826253891","0.1693485826253891"
"3","2.2539538145065308","2.248673439025879","2.2592341899871826","1.1690277457237244","1.1637173891067505","1.1743381023406982","1.404323935508728","1.3669390678405762","1.4417088031768799","2.519753873348236","2.4596047401428223","2.5810317993164062","1.4279530048370361","1.4279530048370361","1.4279530048370361","1.4277794361114502","1.4277794361114502","1.4277794361114502","1.3395494222640991","1.3395494222640991","1.3395494222640991","1.343961477279663","1.343961477279663","1.343961477279663","1.4597710371017456","1.4597710371017456","1.4597710371017456","1.3625948429107666","1.3625948429107666","1.3625948429107666","0.22369080781936646","0.22369080781936646","0.22369080781936646","0.20115084946155548","0.20115084946155548","0.20115084946155548","0.5678131580352783","0.5678131580352783","0.5678131580352783","0.1508517563343048","0.1508517563343048","0.1508517563343048"
"4","2.0883251428604126","2.0879948139190674","2.088655471801758","0.955257773399353","0.9388364553451538","0.9716790914535522","1.2068080306053162","1.1716514825820923","1.24196457862854","2.425682306289673","2.388258695602417","2.5000317096710205","1.4510457515716553","1.4510457515716553","1.4510457515716553","1.4274985790252686","1.4274985790252686","1.4274985790252686","1.2805768251419067","1.2805768251419067","1.2805768251419067","1.2659064531326294","1.2659064531326294","1.2659064531326294","1.4356505870819092","1.4356505870819092","1.4356505870819092","1.3154113292694092","1.3154113292694092","1.3154113292694092","0.21246503293514252","0.21246503293514252","0.21246503293514252","0.16883456707000732","0.16883456707000732","0.16883456707000732","0.5039325952529907","0.5039325952529907","0.5039325952529907","0.14516252279281616","0.14516252279281616","0.14516252279281616"
"5","1.938110113143921","1.9149119853973389","1.961308240890503","0.8136291801929474","0.8110480904579163","0.8162102699279785","1.0498329401016235","1.0198465585708618","1.0798193216323853","2.3135660886764526","2.2504560947418213","2.38871431350708","1.4025174379348755","1.4025174379348755","1.4025174379348755","1.4093881845474243","1.4093881845474243","1.4093881845474243","1.3373465538024902","1.3373465538024902","1.3373465538024902","1.3198096752166748","1.3198096752166748","1.3198096752166748","1.4888794422149658","1.4888794422149658","1.4888794422149658","1.3054333925247192","1.3054333925247192","1.3054333925247192","0.1636035293340683","0.1636035293340683","0.1636035293340683","0.1525980532169342","0.1525980532169342","0.1525980532169342","0.4569673240184784","0.4569673240184784","0.4569673240184784","0.12701630592346191","0.12701630592346191","0.12701630592346191"
"6","1.8028935194015503","1.790256381034851","1.8155306577682495","0.6975793540477753","0.6877384185791016","0.707420289516449","0.9221484363079071","0.9063146114349365","0.9379822611808777","2.2092793583869934","2.1632609367370605","2.265619993209839","1.3913617134094238","1.3913617134094238","1.3913617134094238","1.4027740955352783","1.4027740955352783","1.4027740955352783","1.3061319589614868","1.3061319589614868","1.3061319589614868","1.381335973739624","1.381335973739624","1.381335973739624","1.4320601224899292","1.4320601224899292","1.4320601224899292","1.3301832675933838","1.3301832675933838","1.3301832675933838","0.15977804362773895","0.15977804362773895","0.15977804362773895","0.13436993956565857","0.13436993956565857","0.13436993956565857","0.3957686126232147","0.3957686126232147","0.3957686126232147","0.11739786714315414","0.11739786714315414","0.11739786714315414"
"7","1.6868733167648315","1.6775459051132202","1.6962007284164429","0.6329555511474609","0.6295151710510254","0.6363959312438965","0.8078424632549286","0.80411297082901","0.8115719556808472","2.165700912475586","2.081674098968506","2.204214334487915","1.418743371963501","1.418743371963501","1.418743371963501","1.4053318500518799","1.4053318500518799","1.4053318500518799","1.3430609703063965","1.3430609703063965","1.3430609703063965","1.2559683322906494","1.2559683322906494","1.2559683322906494","1.3958693742752075","1.3958693742752075","1.3958693742752075","1.3516724109649658","1.3516724109649658","1.3516724109649658","0.12805651128292084","0.12805651128292084","0.12805651128292084","0.12583647668361664","0.12583647668361664","0.12583647668361664","0.38261640071868896","0.38261640071868896","0.38261640071868896","0.11112109571695328","0.11112109571695328","0.11112109571695328"
"8","1.5856837034225464","1.551042914390564","1.6203244924545288","0.585455983877182","0.5807799696922302","0.5901319980621338","0.7277792394161224","0.7200669646263123","0.7354915142059326","2.0905637741088867","2.0648176670074463","2.134505033493042","1.395672082901001","1.395672082901001","1.395672082901001","1.3935776948928833","1.3935776948928833","1.3935776948928833","1.2883089780807495","1.2883089780807495","1.2883089780807495","1.332755208015442","1.332755208015442","1.332755208015442","1.4234415292739868","1.4234415292739868","1.4234415292739868","1.3134132623672485","1.3134132623672485","1.3134132623672485","0.12613974511623383","0.12613974511623383","0.12613974511623383","0.09463537484407425","0.09463537484407425","0.09463537484407425","0.3198682367801666","0.3198682367801666","0.3198682367801666","0.09176219999790192","0.09176219999790192","0.09176219999790192"
"9","1.4987130761146545","1.4607452154159546","1.5366809368133545","0.5495121479034424","0.5490450263023376","0.5499792695045471","0.6662752032279968","0.6607716679573059","0.6717787384986877","2.018521726131439","1.9844725131988525","2.054002523422241","1.3961249589920044","1.3961249589920044","1.3961249589920044","1.4024128913879395","1.4024128913879395","1.4024128913879395","1.3309314250946045","1.3309314250946045","1.3309314250946045","1.333233118057251","1.333233118057251","1.333233118057251","1.396259069442749","1.396259069442749","1.396259069442749","1.2998055219650269","1.2998055219650269","1.2998055219650269","0.11450324207544327","0.11450324207544327","0.11450324207544327","0.09401863068342209","0.09401863068342209","0.09401863068342209","0.3019632399082184","0.3019632399082184","0.3019632399082184","0.09546966105699539","0.09546966105699539","0.09546966105699539"
