,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
PhalangesOutlinesCorrect,0.8344988344988346,0.8251748251748252,0.8205128205128205,0.8135198135198135,0.8181818181818182,0.8181818181818182
PLAID,0.10037174721189591,0.10037174721189591,0.21189591078066913,0.10037174721189591,0.10037174721189591,0.026022304832713755
MiddlePhalanxOutlineAgeGroup,0.5844155844155844,0.5714285714285714,0.5454545454545454,0.5584415584415584,0.5584415584415584,0.5844155844155844
Lightning2,0.7741935483870968,0.7096774193548387,0.8387096774193549,0.7096774193548387,0.7419354838709677,0.7096774193548387
MedicalImages,0.7368421052631579,0.7868421052631579,0.7921052631578948,0.7552631578947369,0.7789473684210526,0.7605263157894737
ProximalPhalanxOutlineCorrect,0.9452054794520548,0.952054794520548,0.9315068493150684,0.9383561643835616,0.910958904109589,0.910958904109589
Mallat,0.9778346121057119,0.96845694799659,0.9710144927536232,0.948849104859335,0.9676044330775788,0.9718670076726342
Worms,0.717948717948718,0.7692307692307693,0.6923076923076923,0.7948717948717948,0.7692307692307693,0.7692307692307693
Lightning7,0.918918918918919,0.918918918918919,0.918918918918919,0.7837837837837838,0.8648648648648649,0.8108108108108109
WordSynonyms,0.6520376175548589,0.5987460815047022,0.6175548589341693,0.5611285266457681,0.670846394984326,0.64576802507837
SonyAIBORobotSurface1,0.9634551495016611,0.920265780730897,0.9601328903654485,0.9568106312292359,0.9833887043189369,0.9700996677740864
ProximalPhalanxTW,0.7669902912621359,0.7281553398058253,0.7572815533980582,0.7475728155339806,0.7766990291262136,0.7378640776699029
StarLightCurves,0.9783875667799903,0.9730451675570665,0.976930548810102,0.9779018941233608,0.9730451675570665,0.9713453132588635
InsectEPGSmallTrain,0.2,0.784,0.44,0.0,0.8,0.8
Wafer,0.9974042829331603,0.9983776768332252,0.9928617780661908,0.9948085658663206,0.9980532121998702,0.9990266060999351
Symbols,0.9076305220883534,0.9096385542168675,0.9377510040160643,0.9759036144578314,0.8795180722891566,0.857429718875502
ElectricDevices,0.7279564315352697,0.7308091286307054,0.7289937759336099,0.729253112033195,0.7341804979253111,0.745591286307054
