,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
PhalangesOutlinesCorrect,[0.76872964 0.87114338],[0.74576271 0.86678508],[0.73356401 0.86467487],[0.7515528  0.85074627],[0.7483871  0.85766423],[0.74172185 0.85971223]
PLAID,"[0.         0.         0.18243243 0.         0.         0.
 0.         0.         0.         0.         0.        ]","[0.         0.         0.18243243 0.         0.         0.
 0.         0.         0.         0.         0.        ]","[0.         0.31893688 0.         0.         0.         0.
 0.         0.         0.42857143 0.         0.        ]","[0.         0.         0.18305085 0.         0.         0.
 0.         0.         0.         0.         0.        ]","[0.         0.         0.18243243 0.         0.         0.
 0.         0.         0.         0.         0.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05090909 0.        ]"
MiddlePhalanxOutlineAgeGroup,[0.7032967  0.45454545 0.3902439 ],[0.7173913  0.4        0.32432432],[0.64444444 0.47619048 0.37209302],[0.68181818 0.38461538 0.4       ],[0.68041237 0.27272727 0.4       ],[0.7173913  0.38461538 0.38888889]
Lightning2,[0.78787879 0.75862069],[0.72727273 0.68965517],[0.83870968 0.83870968],[0.74285714 0.66666667],[0.71428571 0.76470588],[0.72727273 0.68965517]
MedicalImages,"[0.72       0.82758621 0.58064516 0.90909091 0.93333333 0.88235294
 0.70588235 0.42857143 0.79202279 0.63366337]","[0.65217391 0.80701754 0.69230769 1.         0.93333333 0.90909091
 0.77777778 0.47058824 0.84210526 0.73563218]","[0.62222222 0.74576271 0.7826087  0.92857143 1.         0.97142857
 0.70588235 0.55555556 0.84895833 0.72289157]","[0.64       0.66666667 0.6        0.96774194 0.85714286 0.85
 0.81818182 0.57534247 0.81666667 0.6746988 ]","[0.58333333 0.72727273 0.74074074 0.96551724 0.93333333 0.97142857
 0.77777778 0.56470588 0.82833787 0.7654321 ]","[0.60869565 0.75       0.76923077 0.90322581 0.93333333 0.94117647
 0.70588235 0.5        0.81440443 0.75609756]"
ProximalPhalanxOutlineCorrect,[0.92       0.95833333],[0.93069307 0.96335079],[0.90196078 0.94736842],[0.91262136 0.95238095],[0.87378641 0.93121693],[0.86868687 0.93264249]
Mallat,"[0.99656357 1.         0.92113565 1.         1.         1.
 0.99674267 0.91103203]","[0.99315068 1.         0.89759036 0.99684543 1.         0.99656357
 0.99346405 0.87218045]","[1.         1.         0.89880952 1.         1.         1.
 1.         0.87022901]","[1.         1.         0.84180791 0.98726115 1.         0.98639456
 1.         0.7704918 ]","[1.         1.         0.88622754 1.         1.         1.
 1.         0.85606061]","[0.99656357 1.         0.9030303  1.         1.         1.
 0.99674267 0.88059701]"
Worms,[0.93333333 0.83333333 0.4        0.54545455 0.73333333],[0.93333333 0.83333333 0.25       0.6        0.84848485],[0.76923077 0.83333333 0.22222222 0.6        0.76470588],[0.85714286 0.90909091 0.5        0.66666667 0.83333333],[0.93333333 0.85714286 0.22222222 0.66666667 0.83870968],[0.93333333 0.76923077 0.44444444 0.75       0.78787879]
Lightning7,"[0.92307692 0.90909091 1.         1.         1.         0.85714286
 0.92307692]","[0.92307692 1.         1.         1.         1.         0.85714286
 0.83333333]","[1.         0.90909091 0.8        0.8        1.         0.90909091
 0.92307692]","[0.90909091 0.90909091 0.8        0.57142857 0.5        0.8
 0.72727273]","[0.90909091 0.90909091 1.         0.8        1.         0.83333333
 0.72727273]","[0.6        0.90909091 0.85714286 0.8        1.         0.81818182
 0.76923077]"
WordSynonyms,"[0.81355932 0.6        0.67605634 0.44444444 0.7804878  0.6
 0.65306122 0.26666667 0.51428571 0.5        0.74074074 0.33333333
 0.77419355 0.6        0.74074074 0.28571429 0.3        0.66666667
 0.63157895 0.33333333 0.28571429 0.25       0.6        0.
 0.375     ]","[0.77094972 0.66666667 0.58974359 0.22222222 0.66666667 0.6
 0.63636364 0.26666667 0.47058824 0.4        0.5        0.
 0.73333333 0.44444444 0.59259259 0.33333333 0.44444444 0.4
 0.76190476 0.5        0.4        0.33333333 0.54545455 0.
 0.26666667]","[0.81609195 0.66666667 0.65853659 0.         0.72727273 0.6
 0.73913043 0.28571429 0.33333333 0.2        0.64       0.28571429
 0.68965517 0.54545455 0.56       0.28571429 0.23529412 0.4
 0.76190476 0.22222222 0.5        0.33333333 0.4        0.
 0.47058824]","[0.81045752 0.42857143 0.57142857 0.30769231 0.58536585 0.5
 0.64150943 0.         0.5        0.         0.58333333 0.36363636
 0.61111111 0.54545455 0.66666667 0.33333333 0.13333333 0.44444444
 0.63636364 0.28571429 0.5        0.25       0.13333333 0.22222222
 0.35294118]","[0.84848485 0.54545455 0.73972603 0.22222222 0.69387755 0.6
 0.87804878 0.         0.52941176 0.26666667 0.76923077 0.25
 0.83870968 0.5        0.58333333 0.2        0.375      0.6
 0.86956522 0.44444444 0.44444444 0.28571429 0.44444444 0.
 0.63157895]","[0.81707317 0.44444444 0.68493151 0.28571429 0.72340426 0.54545455
 0.73913043 0.30769231 0.48484848 0.18181818 0.5        0.22222222
 0.82758621 0.61538462 0.64       0.25       0.47058824 0.6
 0.90909091 0.44444444 0.36363636 0.28571429 0.57142857 0.
 0.52631579]"
SonyAIBORobotSurface1,[0.9581749  0.96755162],[0.91304348 0.92638037],[0.95454545 0.96449704],[0.9509434  0.96142433],[0.98054475 0.98550725],[0.96551724 0.97360704]
ProximalPhalanxTW,[0.5        0.25       0.93333333 0.         0.82051282 0.68181818],[0.30769231 0.2        0.93103448 0.         0.80519481 0.65116279],[0.53333333 0.25       0.93333333 0.         0.825      0.61538462],[0.30769231 0.         0.93333333 0.         0.83544304 0.68292683],[0.57142857 0.25       0.94915254 0.         0.82051282 0.73170732],[0.57142857 0.22222222 0.94915254 0.         0.78378378 0.65116279]
StarLightCurves,[1.         0.98150841 0.9191644 ],[0.99913867 0.97693746 0.90099909],[1.         0.98037596 0.91146319],[1.         0.98108501 0.91749773],[0.99956952 0.97696618 0.89945155],[0.99956952 0.97544736 0.89430894]
InsectEPGSmallTrain,[0.         0.42735043 0.        ],[0.82802548 0.         1.        ],[0.74829932 0.         0.        ],[0. 0. 0.],[0.8427673 0.        1.       ],[0.8427673 0.        1.       ]
Wafer,[0.98757764 0.99855072],[0.99231951 0.99909305],[0.96518987 0.99602314],[0.9752322 0.9971004],[0.99074074 0.99891226],[0.9953775  0.99945603]
Symbols,[0.8502994  0.89041096 0.92485549 0.91719745 0.9005848  0.95604396],[0.93959732 0.91612903 0.78205128 0.86516854 0.98305085 0.96132597],[0.93333333 0.94871795 0.8875     0.9122807  0.97752809 0.96132597],[0.98666667 0.9875     0.96511628 0.95597484 0.97752809 0.98305085],[0.94666667 0.95541401 0.62121212 0.77227723 0.97727273 0.97206704],[0.92207792 0.89189189 0.60294118 0.76616915 0.96045198 0.96666667]
