,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
PhalangesOutlinesCorrect,[0.81015159 0.81015159],[0.78869833 0.78869833],[0.77739215 0.77739215],[0.79961287 0.79961287],[0.79484526 0.79484526],[0.78763975 0.78763975]
PLAID,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.26906912 0.         0.         0.         0.
 0.         0.         0.5365472  0.         0.        ]","[0.         0.         0.06428243 0.         0.         0.
 0.         0.         0.         0.         0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.06178021 0.        ]"
MiddlePhalanxOutlineAgeGroup,[0.62596864 0.60048058 0.53935989],[0.63567416 0.58527607 0.47759729],[0.56182405 0.6054639  0.52695915],[0.62269985 0.58011935 0.54545455],[0.54021915 0.45731238 0.53242002],[0.63567416 0.58011935 0.52695915]
Lightning2,[0.77190241 0.77190241],[0.70710678 0.70710678],[0.83914639 0.83914639],[0.698212 0.698212],[0.73598007 0.73598007],[0.70710678 0.70710678]
MedicalImages,"[0.79721512 0.91789567 0.89094982 0.99588193 0.99865862 0.91160919
 0.73854895 0.67126461 0.8045608  0.89644719]","[0.72879938 0.89856939 0.89714996 1.         0.99865862 0.91287093
 0.79772404 0.69647151 0.842397   0.91640236]","[0.70408709 0.875      0.90084956 0.93094934 1.         0.97182532
 0.73854895 0.77867881 0.84759658 0.89002874]","[0.74945868 0.81196911 0.89219329 0.9986292  0.92457822 0.96509048
 0.90207939 0.79790835 0.82492361 0.85721591]","[0.7010544  0.83670853 0.94567909 0.96609178 0.99865862 0.97182532
 0.79772404 0.84121576 0.83379751 0.90888167]","[0.70307765 0.85737111 0.94698078 0.96344132 0.99865862 0.94280904
 0.73854895 0.81311234 0.82245007 0.90750353]"
ProximalPhalanxOutlineCorrect,[0.93460035 0.93460035],[0.94470443 0.94470443],[0.92438583 0.92438583],[0.93437948 0.93437948],[0.90406718 0.90406718],[0.89373464 0.89373464]
Mallat,"[0.9995135  1.         0.97363543 1.         1.         1.
 0.99674796 0.92771009]","[0.99902676 1.         0.97768018 0.99950727 1.         0.99656946
 0.99348527 0.8844515 ]","[1.         1.         0.98322525 1.         1.         1.
 1.         0.87765043]","[1.         1.         0.96675603 0.9899728  1.         0.99511284
 1.         0.79617576]","[1.         1.         0.97291637 1.         1.         1.
 1.         0.87251295]","[0.9995135  1.         0.97866724 1.         1.         1.
 0.99674796 0.89204349]"
Worms,[0.93541435 0.89893315 0.60390884 0.73963425 0.78173596],[0.93541435 0.89893315 0.43386092 0.75146915 0.8819171 ],[0.79056942 0.89893315 0.42702803 0.75146915 0.80622577],[0.8660254  0.91287093 0.6230853  0.76312053 0.8660254 ],[0.93541435 0.96922337 0.42702803 0.76312053 0.87082337],[0.93541435 0.88477584 0.61357199 0.77459667 0.82831824]
Lightning7,"[0.98373875 0.91287093 1.         1.         1.         0.91287093
 0.9258201 ]","[0.98373875 1.         1.         1.         1.         0.91287093
 0.84515425]","[1.         0.91287093 0.81649658 0.98561076 1.         0.96225045
 0.9258201 ]","[0.91287093 0.91287093 0.81649658 0.95618289 0.57735027 0.90267093
 0.75592895]","[0.91287093 0.91287093 1.         0.98561076 1.         0.92295821
 0.75592895]","[0.69560834 0.91287093 0.98518437 0.98561076 1.         0.89442719
 0.83094897]"
WordSynonyms,"[0.92187966 0.70597631 0.84309038 0.57642725 0.84848485 0.65465367
 0.87476705 0.62434679 0.69764673 0.63144763 0.8138063  0.4472136
 0.86172748 0.65465367 0.90540661 0.4465009  0.47723437 0.81388379
 0.77082732 0.49920572 0.4465009  0.49761335 0.77212586 0.
 0.54505723]","[0.89186431 0.70710678 0.8131112  0.40694189 0.7896251  0.65465367
 0.82255008 0.62434679 0.65774765 0.629427   0.62932713 0.
 0.82504125 0.53452248 0.80713431 0.4472136  0.55379308 0.57550274
 0.89007472 0.70485842 0.629427   0.49920572 0.77088749 0.
 0.44503736]","[0.91972321 0.70710678 0.88098377 0.         0.84414474 0.65465367
 0.90797286 0.62536613 0.52088178 0.44435597 0.72789049 0.4465009
 0.78664597 0.6536037  0.75626231 0.4465009  0.39094836 0.57550274
 0.89007472 0.49681525 0.63144763 0.49920572 0.629427   0.
 0.62937787]","[0.88300745 0.70143623 0.7328171  0.57272028 0.72979361 0.65255205
 0.89694763 0.         0.69645519 0.         0.6808792  0.62841424
 0.81674917 0.6536037  0.85752086 0.62739985 0.27689654 0.57642725
 0.82986333 0.49841017 0.63144763 0.49761335 0.44075789 0.37735827
 0.54416588]","[0.92998111 0.70484403 0.89587469 0.40694189 0.86412356 0.65465367
 0.94391202 0.         0.69883624 0.62434679 0.81515255 0.44578707
 0.89840802 0.65255205 0.75751752 0.44435597 0.48038446 0.70597631
 0.99513379 0.70373155 0.63043812 0.49841017 0.63043812 0.
 0.77082732]","[0.90576386 0.57642725 0.85889231 0.40824829 0.86712921 0.6536037
 0.90797286 0.62638382 0.65886913 0.44363869 0.62932713 0.4450721
 0.86459514 0.7535022  0.80982029 0.44578707 0.5547002  0.70597631
 0.9967585  0.70373155 0.62841424 0.49841017 0.88727738 0.
 0.70251513]"
