,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
PhalangesOutlinesCorrect,0.6422079013268508,0.6202511417285315,0.6098701278970899,0.6022990636877723,0.6074998695986689,0.6055366440343442
PLAID,0.0,0.0,0.12289279256850588,-0.0006861936078354061,0.0,-0.004631806852888992
MiddlePhalanxOutlineAgeGroup,0.26487518341635874,0.2446450322518316,0.19696680719179788,0.23838455252872592,0.19587250210686694,0.2707019172520748
Lightning2,0.5481219527349985,0.4184137043778615,0.6791666666666667,0.4232160702351261,0.5044393564418674,0.4184137043778615
MedicalImages,0.6569850990742631,0.7036105583031426,0.7085492841248915,0.6736261001712829,0.7016821567858083,0.6817197691907934
ProximalPhalanxOutlineCorrect,0.8787651050816615,0.8941517745555464,0.849329205366357,0.8651065625732147,0.8051039221287067,0.8022657035678343
Mallat,0.974839110299541,0.9646579428124307,0.967786311930437,0.9436355176300694,0.963777514668027,0.9684636143043763
Worms,0.6271786521311538,0.6909705391453662,0.5875828860095628,0.7317547207424396,0.6937791211620302,0.691354691754166
Lightning7,0.9027743681256042,0.9036664376593252,0.904158162805939,0.751173610253072,0.8451520307817586,0.7741182511387881
WordSynonyms,0.6130802002266056,0.5526552434472157,0.5745689383851379,0.5173716536427581,0.6354189481686907,0.6076990226246713
SonyAIBORobotSurface1,0.9283845163610701,0.8513518661517104,0.9221902095602055,0.9160440440543687,0.96661840714843,0.9409215341001254
ProximalPhalanxTW,0.6790844013395251,0.628926923021152,0.6694187822027906,0.6543366048313719,0.6967058873478772,0.6469690286370339
StarLightCurves,0.9615118417855855,0.9519910121176345,0.9588870273076217,0.9606548515011224,0.9519602441638246,0.9490095036318625
InsectEPGSmallTrain,-0.1832423272627761,0.6526864956953136,0.04735074417462616,-0.6082749443971207,0.6937030960662238,0.6937030960662238
Wafer,0.986223500954446,0.9914140258446589,0.9618154251478488,0.9723852134680314,0.9896765879975541,0.9948468232928166
Symbols,0.8903481581760955,0.8931508577960411,0.9261305628803175,0.9711048191546053,0.8630288809803159,0.8357698071113433
ElectricDevices,0.6710857540191391,0.6744556280829113,0.6711313412294766,0.6721408426549278,0.6776378568294101,0.6913141841098682
