,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
PhalangesOutlinesCorrect,[0.80821918 0.84805654],[0.82089552 0.82711864],[0.828125   0.81727575],[0.7515528  0.85074627],[0.77852349 0.83928571],[0.79432624 0.82986111]
PLAID,"[0.         0.         0.10037175 0.         0.         0.
 0.         0.         0.         0.         0.        ]","[0.         0.         0.10037175 0.         0.         0.
 0.         0.         0.         0.         0.        ]","[0.         0.18972332 0.         0.         0.         0.
 0.         0.         0.81818182 0.         0.        ]","[0.         0.         0.10074627 0.         0.         0.
 0.         0.         0.         0.         0.        ]","[0.         0.         0.10037175 0.         0.         0.
 0.         0.         0.         0.         0.        ]","[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.0261194 0.       ]"
MiddlePhalanxOutlineAgeGroup,[0.65306122 0.55555556 0.42105263],[0.66       0.41666667 0.4       ],[0.60416667 0.625      0.38095238],[0.65217391 0.38461538 0.44444444],[0.6        0.33333333 0.53846154],[0.66       0.38461538 0.5       ]
Lightning2,[0.76470588 0.78571429],[0.70588235 0.71428571],[0.86666667 0.8125    ],[0.68421053 0.75      ],[0.83333333 0.68421053],[0.70588235 0.71428571]
MedicalImages,"[0.81818182 0.8        0.45       0.83333333 0.875      0.9375
 1.         0.38461538 0.89102564 0.49230769]","[0.83333333 0.79310345 0.6        1.         0.875      1.
 1.         0.43243243 0.86486486 0.62745098]","[0.82352941 0.70967742 0.75       1.         1.         1.
 1.         0.48780488 0.86243386 0.63829787]","[0.72727273 0.65517241 0.47368421 0.9375     0.85714286 0.77272727
 0.81818182 0.5        0.89090909 0.59574468]","[0.7        0.74074074 0.625      1.         0.875      1.
 1.         0.44444444 0.88372093 0.68888889]","[0.77777778 0.75       0.66666667 0.875      0.875      1.
 1.         0.37704918 0.88554217 0.67391304]"
ProximalPhalanxOutlineCorrect,[0.93877551 0.94845361],[0.94       0.95833333],[0.90196078 0.94736842],[0.90384615 0.95744681],[0.86538462 0.93617021],[0.89583333 0.91836735]
Mallat,"[0.99315068 1.         0.87951807 1.         1.         1.
 1.         0.96240602]","[0.98639456 1.         0.82320442 0.99371069 1.         1.
 1.         0.98305085]","[1.         1.         0.81621622 1.         1.         1.
 1.         1.        ]","[1.         1.         0.73399015 0.99358974 1.         0.97972973
 1.         0.97916667]","[1.         1.         0.80874317 1.         1.         1.
 1.         0.97413793]","[0.99315068 1.         0.83240223 1.         1.         1.
 1.         0.98333333]"
Worms,[1.         0.83333333 0.4        0.5        0.73333333],[1.         0.83333333 0.33333333 0.6        0.77777778],[1.         0.83333333 0.25       0.6        0.68421053],[1.         1.         0.66666667 0.75       0.71428571],[1.     0.75   0.25   0.75   0.8125],[1.         0.71428571 0.5        1.         0.72222222]
Lightning7,"[0.85714286 1.         1.         1.         1.         0.81818182
 1.        ]","[0.85714286 1.         1.         1.         1.         0.81818182
 1.        ]","[1.         1.         1.         0.66666667 1.         0.83333333
 1.        ]","[1.         1.         1.         0.4        1.         0.66666667
 1.        ]","[1.         1.         1.         0.66666667 1.         0.71428571
 1.        ]","[0.75       1.         0.75       0.66666667 1.         0.75
 0.83333333]"
WordSynonyms,"[0.69902913 0.75       0.61538462 0.66666667 0.84210526 1.
 0.55172414 0.2        0.52941176 0.66666667 0.83333333 1.
 0.8        1.         0.66666667 0.5        0.42857143 0.66666667
 0.66666667 0.5        0.5        0.25       0.6        0.
 0.5       ]","[0.65714286 1.         0.5        0.33333333 0.7        1.
 0.58333333 0.2        0.5        0.4        0.66666667 0.
 0.78571429 1.         0.53333333 1.         0.8        0.5
 0.72727273 0.5        0.4        0.5        0.5        0.
 0.4       ]","[0.71       1.         0.54       0.         0.72727273 1.
 0.65384615 0.22222222 0.41666667 0.2        0.8        0.5
 0.76923077 0.75       0.53846154 0.5        0.5        0.5
 0.72727273 0.2        0.66666667 0.5        0.4        0.
 0.57142857]","[0.78481013 0.375      0.58064516 0.28571429 0.63157895 0.6
 0.51515152 0.         0.5        0.         0.77777778 0.33333333
 0.55       0.75       0.6        0.28571429 0.5        0.66666667
 0.58333333 0.33333333 0.66666667 0.25       0.1        0.5
 0.42857143]","[0.76923077 0.6        0.65853659 0.33333333 0.62962963 1.
 0.85714286 0.         0.5625     0.2        0.90909091 0.33333333
 0.86666667 0.6        0.58333333 0.2        1.         0.75
 0.76923077 0.4        0.5        0.33333333 0.5        0.
 0.66666667]","[0.74444444 0.66666667 0.6097561  1.         0.68       0.75
 0.65384615 0.25       0.53333333 0.16666667 0.66666667 0.25
 0.92307692 0.66666667 0.61538462 0.33333333 1.         0.75
 0.83333333 0.4        0.33333333 0.33333333 0.44444444 0.
 0.55555556]"
