,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
PhalangesOutlinesCorrect,[0.73291925 0.89552239],[0.68322981 0.91044776],[0.65838509 0.91791045],[0.7515528  0.85074627],[0.72049689 0.87686567],[0.69565217 0.89179104]
PLAID,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         1.         0.         0.         0.         0.
 0.         0.         0.29032258 0.         0.        ]",[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
MiddlePhalanxOutlineAgeGroup,[0.76190476 0.38461538 0.36363636],[0.78571429 0.38461538 0.27272727],[0.69047619 0.38461538 0.36363636],[0.71428571 0.38461538 0.36363636],[0.78571429 0.23076923 0.31818182],[0.78571429 0.38461538 0.31818182]
Lightning2,[0.8125     0.73333333],[0.75       0.66666667],[0.8125     0.86666667],[0.8125 0.6   ],[0.625      0.86666667],[0.75       0.66666667]
MedicalImages,"[0.64285714 0.85714286 0.81818182 1.         1.         0.83333333
 0.54545455 0.48387097 0.71282051 0.88888889]","[0.53571429 0.82142857 0.81818182 1.         1.         0.83333333
 0.63636364 0.51612903 0.82051282 0.88888889]","[0.5        0.78571429 0.81818182 0.86666667 1.         0.94444444
 0.54545455 0.64516129 0.83589744 0.83333333]","[0.57142857 0.67857143 0.81818182 1.         0.85714286 0.94444444
 0.81818182 0.67741935 0.75384615 0.77777778]","[0.5        0.71428571 0.90909091 0.93333333 1.         0.94444444
 0.63636364 0.77419355 0.77948718 0.86111111]","[0.5        0.75       0.90909091 0.93333333 1.         0.88888889
 0.54545455 0.74193548 0.75384615 0.86111111]"
ProximalPhalanxOutlineCorrect,[0.90196078 0.96842105],[0.92156863 0.96842105],[0.90196078 0.94736842],[0.92156863 0.94736842],[0.88235294 0.92631579],[0.84313725 0.94736842]
Mallat,"[1.         1.         0.96688742 1.         1.         1.
 0.99350649 0.86486486]","[1.         1.         0.98675497 1.         1.         0.99315068
 0.98701299 0.78378378]","[1.         1.         1.         1.         1.         1.
 1.         0.77027027]","[1.         1.         0.98675497 0.98101266 1.         0.99315068
 1.         0.63513514]","[1.         1.         0.98013245 1.         1.         1.
 1.         0.76351351]","[1.         1.         0.98675497 1.         1.         1.
 0.99350649 0.7972973 ]"
Worms,[0.875      0.83333333 0.4        0.6        0.73333333],[0.875      0.83333333 0.2        0.6        0.93333333],[0.625      0.83333333 0.2        0.6        0.86666667],[0.75       0.83333333 0.4        0.6        1.        ],[0.875      1.         0.2        0.6        0.86666667],[0.875      0.83333333 0.4        0.6        0.86666667]
Lightning7,"[1.         0.83333333 1.         1.         1.         0.9
 0.85714286]","[1.         1.         1.         1.         1.         0.9
 0.71428571]","[1.         0.83333333 0.66666667 1.         1.         1.
 0.85714286]","[0.83333333 0.83333333 0.66666667 1.         0.33333333 1.
 0.57142857]","[0.83333333 0.83333333 1.         1.         1.         1.
 0.57142857]","[0.5        0.83333333 1.         1.         1.         0.9
 0.71428571]"
WordSynonyms,"[0.97297297 0.5        0.75       0.33333333 0.72727273 0.42857143
 0.8        0.4        0.5        0.4        0.66666667 0.2
 0.75       0.42857143 0.83333333 0.2        0.23076923 0.66666667
 0.6        0.25       0.2        0.25       0.6        0.
 0.3       ]","[0.93243243 0.5        0.71875    0.16666667 0.63636364 0.42857143
 0.7        0.4        0.44444444 0.4        0.4        0.
 0.6875     0.28571429 0.66666667 0.2        0.30769231 0.33333333
 0.8        0.5        0.4        0.25       0.6        0.
 0.2       ]","[0.95945946 0.5        0.84375    0.         0.72727273 0.42857143
 0.85       0.4        0.27777778 0.2        0.53333333 0.2
 0.625      0.42857143 0.58333333 0.2        0.15384615 0.33333333
 0.8        0.25       0.4        0.25       0.4        0.
 0.4       ]","[0.83783784 0.5        0.5625     0.33333333 0.54545455 0.42857143
 0.85       0.         0.5        0.         0.46666667 0.4
 0.6875     0.42857143 0.75       0.4        0.07692308 0.33333333
 0.7        0.25       0.4        0.25       0.2        0.14285714
 0.3       ]","[0.94594595 0.5        0.84375    0.16666667 0.77272727 0.42857143
 0.9        0.         0.5        0.4        0.66666667 0.2
 0.8125     0.42857143 0.58333333 0.2        0.23076923 0.5
 1.         0.5        0.4        0.25       0.4        0.
 0.6       ]","[0.90540541 0.33333333 0.78125    0.16666667 0.77272727 0.42857143
 0.85       0.4        0.44444444 0.2        0.4        0.2
 0.75       0.57142857 0.66666667 0.2        0.30769231 0.5
 1.         0.5        0.4        0.25       0.8        0.
 0.5       ]"
SonyAIBORobotSurface1,[1.         0.93714286],[1.         0.86285714],[1.         0.93142857],[1.         0.92571429],[1.         0.97142857],[1.         0.94857143]
ProximalPhalanxTW,[0.5        0.16666667 1.         0.         0.84210526 0.65217391],[0.33333333 0.16666667 0.96428571 0.         0.81578947 0.60869565],[0.66666667 0.16666667 1.         0.         0.86842105 0.52173913],[0.33333333 0.         1.         0.         0.86842105 0.60869565],[0.66666667 0.16666667 1.         0.         0.84210526 0.65217391],[0.66666667 0.16666667 1.         0.         0.76315789 0.60869565]
StarLightCurves,[1.         0.98457691 0.90681004],[0.99913867 0.97999166 0.88888889],[1.         0.98916215 0.87634409],[1.         0.98374323 0.90681004],[1.         0.98124218 0.88172043],[1.         0.97707378 0.88709677]
InsectEPGSmallTrain,[0. 1. 0.],[0.97014925 0.         1.        ],[0.82089552 0.         0.        ],[0. 0. 0.],[1. 0. 1.],[1. 0. 1.]
Wafer,[0.97546012 1.        ],[0.99079755 0.99927431],[0.93558282 0.99963716],[0.96625767 0.99818578],[0.98466258 0.99963716],[0.99079755 1.        ]
Symbols,[0.93421053 0.8125     0.93023256 0.91139241 0.85555556 1.        ],[0.92105263 0.8875     0.70930233 0.97468354 0.96666667 1.        ],[0.92105263 0.925      0.8255814  0.98734177 0.96666667 1.        ],[0.97368421 0.9875     0.96511628 0.96202532 0.96666667 1.        ],[0.93421053 0.9375     0.47674419 0.98734177 0.95555556 1.        ],[0.93421053 0.825      0.47674419 0.97468354 0.94444444 1.        ]
ElectricDevices,"[0.85405961 0.70430108 0.62142857 0.94583333 0.76470588 0.27142857
 0.28486647]","[0.88797533 0.71505376 0.62857143 0.94791667 0.75935829 0.18214286
 0.27002967]","[0.90750257 0.70430108 0.63035714 0.93125    0.72459893 0.19642857
 0.27596439]","[0.80061665 0.76612903 0.63392857 0.9        0.82085561 0.46785714
 0.27002967]","[0.9290853  0.7688172  0.59821429 0.93020833 0.7513369  0.15714286
 0.2611276 ]","[0.90750257 0.76075269 0.60357143 0.925      0.75935829 0.37142857
 0.28189911]"
